标题 (Column A),叙述内容 (Column B)
法团主义 (Corporatism),坚定认为社团是高校行政系统的有机延伸。通过高度的程序正义、严密的备案制度与对团委指令的绝对服从，确保组织获得生存的合法性与资源的稳定性。
协调主义 (Coordinatism),主张在规则框架内寻求发展空间。尊重高校管理现状，倾向于通过合规的行政沟通来规避风险，认为适度的秩序规范是社团长期稳定运行的必要保障。
自治主义 (Autonomism),推崇社群的自我治理与去中心化，认为过度行政化会扼杀社团的独立性。允许社团内部进行自由的、去中心化、轻微有害的同好交流。主张非正式的协作模式，以保护创作的灵活性。
无政府同人主义 (Anarcho-ujinism),视一切外部管理与内部层级为压迫。主张社团应当彻底摆脱外界与内部的监管，化整为零，回归地下的原始表达。认为任何形式的规训、审批或行政层级都是对二次元亚文化天性的背叛。
加速主义 (Accelerationism),主张全面拥抱市场逻辑与现代技术。通过量化贡献与物质报酬激励产出，认为工业化的生产体系是维持社团发展和文化输出的唯一途径。
实用主义 (Pragmatism),认同物质激励与商业赞助的积极作用。主张有限商业化提高社团效率，认为合理的资金运作与技术辅助是支撑“用爱发电”能持久进行的物质基础。
人文主义 (Humanism),坚守手工创作的温度与情感价值。虽然不排斥少量资源，但核心目标仍是纯粹的内容表达，认为成员之间的共情与对作品的匠心远比工业化的效率指标更为重要。
浪漫主义 (Romanticism),严厉排斥任何形式的商业侵蚀，捍卫“为爱发电”的纯粹性。坚持纯粹的人力付出与心灵交流才是同人精神的根本，视金钱激励为对艺术初衷的亵渎。
普世主义 (Universalism),致力于推动二次元文化彻底融入社会主流。主张通过大众化的宣传将动漫社转型为校园公共文化平台，接纳一切背景的参与者。
多元主义 (Pluralism),主张在保持内核的同时积极对外交流。愿意通过理性的公关与品牌建设吸纳新血液和消除偏见，认为多元化的成员结构能推动动漫文化的新陈代谢。
保护主义 (Protectionism),强调文化的深度与同好的凝聚力。主张维持一定的文化识别门槛，认为高质量的交流必须建立在共同的知识底蕴之上。
孤立主义 (Isolationism),崇尚高度纯洁的亚文化堡垒。要求高门槛的准入机制，极度排斥流行文化与大众干扰，认为亚文化的深度与神圣感是其存在的根本。
技术主义 (Technocracy),奉行技术治社。坚信资源与决策权应向技术倾斜，社团产出和荣誉是最高指标，认为平庸的参与感在杰出的作品面前毫无价值。
威权主义 (Authoritarianism),推崇能者居之，主张决策中应当赋予核心骨干更高的权重。认为有限的社团资源需要被更高效的利用。
共和主义 (Republicanism),认为社团的核心资产是人而非技术。主张资源平权与人人参与，认为良好的社群氛围比冷冰冰的高质量产出更具意义。
平均主义 (Egalitarianism),主张绝对的去门槛化与地位平等。坚决反对技术垄断与话语权集中，认为社团应是每一个人的舞台而非交际花的秀场，动漫社是“被差别民”的自留地。
